轮次编号,任务描述,总执行次数,成功次数,失败次数,平均耗时(ms),最大耗时(ms),最小耗时(ms),总耗时(s),吞吐量(tps),成功率,错误率
1,114,8,7,1,5,10,2,0.045,0.266663,0.875,0.125
1,115,6,6,0,7,10,5,0.042,0.199997,1,0
1,116,24,19,5,5,10,1,0.139,0.799988,0.791667,0.208333
1,117,16,14,2,6,11,2,0.105,0.533325,0.875,0.125
1,118,10,10,0,5,10,1,0.052,0.333328,1,0
1,119,8,7,1,6,10,4,0.054,0.266663,0.875,0.125
1,120,6,6,0,7,11,1,0.043,0.199997,1,0
1,121,25,19,6,6,10,1,0.163,0.833321,0.76,0.24
1,122,16,16,0,6,10,2,0.1,0.533325,1,0
1,123,10,8,2,8,10,3,0.08,0.333328,0.8,0.2
1,124,8,8,0,4,7,1,0.036,0.266663,1,0
1,125,6,6,0,8,11,4,0.049,0.199997,1,0
1,126,26,24,2,6,11,1,0.161,0.866654,0.923077,0.0769231
1,127,16,15,1,5,10,1,0.092,0.533325,0.9375,0.0625
1,128,10,10,0,7,10,4,0.072,0.333328,1,0
1,129,8,8,0,6,10,2,0.052,0.266663,1,0
1,130,6,6,0,3,6,1,0.021,0.199997,1,0
1,131,18,18,0,5,11,1,0.107,0.599991,1,0
1,132,16,14,2,5,11,1,0.095,0.533325,0.875,0.125
1,133,10,9,1,5,10,1,0.057,0.333328,0.9,0.1
1,134,8,7,1,6,11,2,0.052,0.266663,0.875,0.125
1,135,6,5,1,7,10,3,0.042,0.199997,0.833333,0.166667
1,136,17,17,0,5,10,1,0.089,0.566658,1,0
1,137,13,13,0,6,11,1,0.082,0.433327,1,0
1,138,10,8,2,8,11,1,0.081,0.333328,0.8,0.2
1,139,8,5,3,6,10,2,0.049,0.266663,0.625,0.375
1,140,6,5,1,5,8,3,0.034,0.199997,0.833333,0.166667
1,141,17,15,2,5,11,1,0.099,0.566658,0.882353,0.117647
1,142,15,14,1,7,13,2,0.108,0.499992,0.933333,0.0666667
1,143,10,10,0,5,10,1,0.052,0.333328,1,0
1,144,8,6,2,6,10,3,0.055,0.266663,0.75,0.25
1,145,6,6,0,6,10,2,0.04,0.199997,1,0
1,146,18,14,4,7,12,2,0.136,0.599991,0.777778,0.222222
1,147,16,16,0,5,10,1,0.08,0.533325,1,0
1,148,10,9,1,6,10,1,0.06,0.333328,0.9,0.1
1,149,8,8,0,7,11,5,0.059,0.266663,1,0
1,150,6,5,1,4,8,2,0.027,0.199997,0.833333,0.166667
1,151,17,16,1,6,11,2,0.113,0.566658,0.941176,0.0588235
1,152,16,16,0,6,11,2,0.101,0.533325,1,0
1,153,10,9,1,5,11,2,0.059,0.333328,0.9,0.1
1,154,8,7,1,6,10,2,0.048,0.266663,0.875,0.125
1,155,6,4,2,8,11,5,0.049,0.199997,0.666667,0.333333
1,156,18,18,0,5,10,2,0.106,0.599991,1,0
1,157,16,15,1,6,10,1,0.103,0.533325,0.9375,0.0625
1,158,10,6,4,8,10,5,0.085,0.333328,0.6,0.4
1,159,8,8,0,7,11,4,0.058,0.266663,1,0
1,160,6,6,0,6,10,2,0.036,0.199997,1,0
1,161,19,19,0,6,10,1,0.125,0.633324,1,0
1,162,16,13,3,6,11,2,0.097,0.533325,0.8125,0.1875
